ProductID,Product,Category_ID,Sub_Category,Brand,Sale_Price,Market_Price,Type,Rating
25,Kitchen Cleaner - Powers Through Grease & Grime,5001,All Purpose Cleaners,Mr Muscle,112,130,"Kitchen, Glass & Drain",4.3
26,Bathroom Cleaner Liquid 1 L + Lizol Double Concentrate Surface Cleaner 900 ml,5001,All Purpose Cleaners,Harpic,404,506,Toilet Cleaners,
27,Disinfectant Surface & Floor Cleaner - [Floral 2 L + Lavender 2 L],5001,All Purpose Cleaners,Lizol,652,724,Floor & Other Cleaners,
28,"Glass Cleaner Liquid Refill Pack - Cleans Mirror, Car & Home Appliances",5001,All Purpose Cleaners,Colin,139,159,"Kitchen, Glass & Drain",4.2
29,Hygiene Liquid- Lime Fresh 500 ml + Disinfectant Spray- Original 225 ml,5001,All Purpose Cleaners,Dettol,296,352,Disinfectant Spray & Cleaners,
30,Toilet Cleaner - Lime Fresh,5001,All Purpose Cleaners,Domex,174,260,Toilet Cleaners,4.2
31,Toilet Cleaner - Original,5001,All Purpose Cleaners,BB Home,118,168,Toilet Cleaners,4
32,Floor Cleaner,5001,All Purpose Cleaners,Domex,150,189,Floor & Other Cleaners,4.3
33,Glass & Household Cleaner 500 ml + Glass Cleaner Liquid Refill Pack 1 L,5001,All Purpose Cleaners,Colin,219,252,"Kitchen, Glass & Drain",
34,Hygienic Toilet Rim Block - Lavender,5001,All Purpose Cleaners,Harpic,133,156,Toilet Cleaners,4.1
35,Toilet Cleaner Expert - Original,5001,All Purpose Cleaners,Domex,150,180,Toilet Cleaners,4.3
36,Hygienic Toilet Cleaner Rim Block - Citrus,5001,All Purpose Cleaners,Harpic,133,156,Toilet Cleaners,4.2
37,Germ Fighter Handwash Neem 750 ml + On The Go Travel Disinfectant Citrus 85 ml,5001,All Purpose Cleaners,Godrej Protekt,180,199,Disinfectant Spray & Cleaners,
38,"Disinfectant Floor & Surface Cleaner - Neem, Kills 99.9% Germs",5001,All Purpose Cleaners,BB Home,98,98,Floor & Other Cleaners,
39,Liquid Disinfectant for Multi-Purpose Germ Protection - Menthol Cool,5001,All Purpose Cleaners,Dettol,331,386,Disinfectant Spray & Cleaners,4.4
40,Germ Fighter Handwash Neem 750 ml + Multi-purpose Disinfectant Cleaner 500 ml,5001,All Purpose Cleaners,Godrej Protekt,223,249,Disinfectant Spray & Cleaners,
41,Phenyle - Cool Cyan,5001,All Purpose Cleaners,Germisol,60,60,Floor & Other Cleaners,4.1
42,Phenyle - Black Disinfectant Fluid,5001,All Purpose Cleaners,Germisol,69,73,Floor & Other Cleaners,4.1
43,Liquid Disinfectant Menthol Cool 500ml + Disinfectant Spray- Original 225ml,5001,All Purpose Cleaners,Dettol,302,352,Disinfectant Spray & Cleaners,
44,Toilet Cleaner - Ultra Shine,5001,All Purpose Cleaners,SANIFRESH,104,154,Toilet Cleaners,4.2
45,Bleaching Powder - Strong,5001,All Purpose Cleaners,Zermisol,24,24,Floor & Other Cleaners,4.3
46,Power Plus Disinfectant Toilet Cleaner 1 L + Cistern Block - Flushmatic 100g,5001,All Purpose Cleaners,Harpic,274,324,Toilet Cleaners,
47,Toilet Cleaner - Rose,5001,All Purpose Cleaners,BB Home,118,168,Toilet Cleaners,4
48,"Disinfectant Floor Cleaner Liquid - Sandal, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,169,186,Floor & Other Cleaners,4.4
49,"Disinfectant, Floor cleaner & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,316,360,Floor & Other Cleaners,4.5
50,Phenyl - Mountain Magic (Herbal),5001,All Purpose Cleaners,Germisol,60,60,Floor & Other Cleaners,4.2
51,Kitchen Power Cleaner Spray - Removes 99.9% Germs,5001,All Purpose Cleaners,Lizol,129,140,Disinfectant Spray & Cleaners,4.4
52,Masterblaster Liquid Handwash 750 ml + On The Go Travel Disinfectant Citrus 85ml,5001,All Purpose Cleaners,Godrej Protekt,183,199,Disinfectant Spray & Cleaners,
53,Phenyl - Organic Floor Cleaner,5001,All Purpose Cleaners,Gou Ganga,320,320,Floor & Other Cleaners,4.2
54,Disinfectant Toilet Cleaner - Lemon - Kills 99.9% Germs,5001,All Purpose Cleaners,BB Home,86,86,Toilet Cleaners,
55,Masterblaster Liquid Handwash 750 ml + Multi-purpose Disinfectant Cleaner 500 ml,5001,All Purpose Cleaners,Godrej Protekt,226,249,Disinfectant Spray & Cleaners,
56,Clothes Disinfectant & Refreshing Spray,5001,All Purpose Cleaners,Savlon,175,175,Disinfectant Spray & Cleaners,4.5
57,bb Home Floor Cleaner - Neem 500 ml + bb Home Floor Cleaner - Citrus 500 ml,5001,All Purpose Cleaners,bb Combo,196,196,Floor & Other Cleaners,
58,Buy Floor Cleaner - Citrus Bottle 1050 ml: Get Citrus Fragrance Pouch 550 ml Free,5001,All Purpose Cleaners,Mr Muscle,152,172,Floor & Other Cleaners,4.2
59,Power Fresh 6 Toilet Rim Block - Marine Splash,5001,All Purpose Cleaners,Harpic,159,179,Toilet Cleaners,4.1
60,"Disinfectant Floor Cleaner Liquid - Pine, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,169,186,Floor & Other Cleaners,4.4
61,"Kitchen Cleaner, Disinfectant & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,115,130,"Kitchen, Glass & Drain",4.3
62,"Just Mop - Herbal Floor Cleaner, Disinfectant & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,95,95,Floor & Other Cleaners,4.4
63,Flushmatic In-Cistern Toilet Cleaner Blocks - Pine,5001,All Purpose Cleaners,Harpic,375,438,Toilet Cleaners,4.3
64,Spray & Wipe Multipurpose Disinfectant Cleaner,5001,All Purpose Cleaners,Savlon,140,159,Floor & Other Cleaners,4.2
65,Bathroom Cleaning Spray - Extra Strong,5001,All Purpose Cleaners,Harpic,122,140,Toilet Cleaners,4.3
66,"Glass Cleaner, Streak Free Formulation",5001,All Purpose Cleaners,BB Home,67,89,"Kitchen, Glass & Drain",
67,Black Phenyl,5001,All Purpose Cleaners,Germi Chek,48,48,Floor & Other Cleaners,4.2
68,Perfumed Herbal Phenyle - White,5001,All Purpose Cleaners,Smart Home,60,60,Floor & Other Cleaners,4.1
69,Floor Cleaner - Pine White,5001,All Purpose Cleaners,Homey Home Fresh,50,50,Floor & Other Cleaners,4
70,Hygienic Toilet Cleaner Rim Block - Jasmine,5001,All Purpose Cleaners,Harpic,133,156,Toilet Cleaners,4.2
71,Double Concentrate Disinfectant Surface Cleaner - Citrus,5001,All Purpose Cleaners,Lizol,540,670,Floor & Other Cleaners,4.3
72,All Purpose Power Cleaner Spray - Removes 99.9% Germs,5001,All Purpose Cleaners,Lizol,125,136,Disinfectant Spray & Cleaners,4.2
73,Phenyle - Sensation (Herbal 2 in 1),5001,All Purpose Cleaners,Germisol,60,60,Floor & Other Cleaners,4.2
74,Platinum Active-Shield Disinfectant Toilet Cleaner Liquid - Marine,5001,All Purpose Cleaners,Harpic,99,99,Toilet Cleaners,4.3
75,Veggie Wash,5001,All Purpose Cleaners,Dabur,145,289,Disinfectant Spray & Cleaners,3.8
76,Toilet Air Freshener - Lavender,5001,All Purpose Cleaners,Odonil,49,49,Toilet Cleaners,4.1
77,"Kitchen Cleaner - Power, Trigger + All Purpose Cleaner - Power (Each 450 ml)",5001,All Purpose Cleaners,Lizol,236,276,Disinfectant Spray & Cleaners,
78,Toilet Cleaner - Lemon,5001,All Purpose Cleaners,BB Home,168,168,Toilet Cleaners,
79,Platinum Active-Shield Disinfectant Toilet Cleaner Liquid - Lavender,5001,All Purpose Cleaners,Harpic,99,99,Toilet Cleaners,4.3
80,Sanitise Multisurface Disinfectant Spray,5001,All Purpose Cleaners,Dabur,133,199,Disinfectant Spray & Cleaners,4
81,Disinfectant Toilet Cleaner Liquid - Orange,5001,All Purpose Cleaners,Harpic,475,534,Toilet Cleaners,4.4
82,"Disinfectant Surface & Floor Cleaner Liquid - Floral, Kills 99.9% Germs",5001,All Purpose Cleaners,Lizol,578,770,Floor & Other Cleaners,4.4
83,Power Plus Disinfectant Toilet Cleaner 1 L + Power Fresh 6 Toilet Rim Block 35 g,5001,All Purpose Cleaners,Harpic,302,357,Toilet Cleaners,
84,Power Plus Disinfectant Toilet Cleaner,5001,All Purpose Cleaners,Harpic,356,356,Toilet Cleaners,4.4
85,Sanitise Disinfectant Floor Cleaner,5001,All Purpose Cleaners,Dabur,367,570,Floor & Other Cleaners,3.9
86,Disinfectant Toilet Cleaner Pro - Colour Changing Formula - Kills 99.9% germs,5001,All Purpose Cleaners,BB Home,91,91,Toilet Cleaners,
87,"On The Go Travel Disinfectant Spray Ć¢ā‚¬ā€� Kills 99.9% Germs, Alcohol based, Anti-bacterial, Citrus Fragrance",5001,All Purpose Cleaners,Godrej Protekt,85,100,Disinfectant Spray & Cleaners,3.9
88,Buy Floor Cleaner - Floral Perfection Bottle 1050 ml: Get Floral Fragrance Pouch 550 ml Free,5001,All Purpose Cleaners,Mr Muscle,152,172,Floor & Other Cleaners,4.3
89,Dishwasher Salt,5001,All Purpose Cleaners,Fortune,200,200,Imported Cleaners,5
90,Power Cleaner,5001,All Purpose Cleaners,Colin,78,78,"Kitchen, Glass & Drain",4.3
91,Herbal Floor & Surface Cleaner,5001,All Purpose Cleaners,BB Home Herbal,71,95,Floor & Other Cleaners,4.5
92,No-Contact Disinfectant Spray,5001,All Purpose Cleaners,Maxkleen,100,135,Disinfectant Spray & Cleaners,3.9
93,Fabric Softener - Classic Blue,5001,All Purpose Cleaners,Comfort,450,450,Imported Cleaners,4.1
94,"Alcohol Sanitizing Wipes, For Hands & Surface, Skin-friendly",5001,All Purpose Cleaners,BB Home,49,49,Disinfectant Spray & Cleaners,4
95,Bleach - Original,5001,All Purpose Cleaners,Clorox,550,550,Floor & Other Cleaners,4.4
96,Toilet Cleaner,5001,All Purpose Cleaners,BB Home Herbal,98,130,Toilet Cleaners,4.7
97,On The Go Travel Disinfectant Citrus Fragrance 85ml + Face Mask GP95+ - Blue 1pc,5001,All Purpose Cleaners,Godrej Protekt,215,260,Disinfectant Spray & Cleaners,
98,Kitchen Cleaner,5001,All Purpose Cleaners,BB Home Herbal,98,130,"Kitchen, Glass & Drain",4
99,Bathroom Cleaner - Disinfectant,5001,All Purpose Cleaners,BB Home Herbal,98,130,Toilet Cleaners,5
100,Disinfecting Wipes - Fresh Scent,5001,All Purpose Cleaners,Clorox,450,450,Disinfectant Spray & Cleaners,4.6
101,Multi-purpose Disinfectant Spray Cleaner 500 ml + Face Mask GP95+ Blue Large 1pc,5001,All Purpose Cleaners,Godrej Protekt,258,310,Disinfectant Spray & Cleaners,
102,Dishwasher Tablet,5001,All Purpose Cleaners,Fortune,440,440,Imported Cleaners,5
103,Fabric Conditioner - Rose Fresh,5001,All Purpose Cleaners,Comfort,450,450,Imported Cleaners,3
104,Floor Cleaner - Lime,5001,All Purpose Cleaners,Floroma,70,70,Floor & Other Cleaners,3.8
105,Disinfectant Floor Cleaner - Floral Bliss,5001,All Purpose Cleaners,Maxkleen,421,537,Floor & Other Cleaners,4.3
106,"Multi-purpose Disinfectant Spray Cleaner, No Gas - Kills 99.9% Germs, Anti-bacterial, For Home & Kitchen",5001,All Purpose Cleaners,Godrej Protekt,128,150,Disinfectant Spray & Cleaners,4
107,Toilet Air Freshener - Rose,5001,All Purpose Cleaners,Odonil,49,49,Toilet Cleaners,4.1
108,Disinfectant Bathroom Cleaner - Lemon,5001,All Purpose Cleaners,Harpic,44,44,Floor & Other Cleaners,4.1
109,Bathroom Cleaner,5001,All Purpose Cleaners,Godrej Proclean,77,91,Floor & Other Cleaners,4.3
110,ProClean Disinfectant Floor - Citrus,5001,All Purpose Cleaners,Godrej Proclean,152,179,Floor & Other Cleaners,3.7
111,Multi-Surface Wipes,5001,All Purpose Cleaners,Maxkleen,96,130,Disinfectant Spray & Cleaners,4.2
112,Rinse Aid,5001,All Purpose Cleaners,Fortune,150,150,Imported Cleaners,3
113,Glass Cleaner,5001,All Purpose Cleaners,BB Home Herbal,130,130,"Kitchen, Glass & Drain",4.8
114,Germ Kill Spray,5001,All Purpose Cleaners,Nature Protect,169,199,Disinfectant Spray & Cleaners,4.2
115,"WD40 Multipurpose Spray for Rust Removal, Degrease, Chain Cleaner and Lubrication",5001,All Purpose Cleaners,Pidilite,108,110,"Metal, Furniture Cleaner",4.5
116,"Classic Detergent - Lemon, Imported",5001,All Purpose Cleaners,Finish,1299,1299,Imported Cleaners,
117,Eco Multipurpose Sanitising Wipes - Fresh Lemon,5001,All Purpose Cleaners,Ajax,135,269,Disinfectant Spray & Cleaners,4.9
118,Bathroom Cleaner,5001,All Purpose Cleaners,BB Home,91,91,Toilet Cleaners,
119,Toilet Cleaner Clinging Bleach Gel,5001,All Purpose Cleaners,Clorox,225,300,Toilet Cleaners,3.5
120,Washing Machine Cleaner,5001,All Purpose Cleaners,ATOMIC,179,199,Imported Cleaners,
121,Disinfectant Bathroom Cleaner - Floral,5001,All Purpose Cleaners,Harpic,44,44,Floor & Other Cleaners,4.2
122,Visible Power Toilet Cleaner,5001,All Purpose Cleaners,Mr Muscle,75,75,Toilet Cleaners,4.2
123,Sanitizing Wipes for Skin - From Wipro,5001,All Purpose Cleaners,Hygienix,45,50,Disinfectant Spray & Cleaners,3.8
124,Bleach - Lavender,5001,All Purpose Cleaners,Clorox,160,160,Floor & Other Cleaners,4.4
125,Proclean Floor Cleaner - Lavender,5001,All Purpose Cleaners,Godrej,179,179,Floor & Other Cleaners,4.5
126,Disinfectant Surface Cleaning Spray,5001,All Purpose Cleaners,Nature Protect,169,199,Disinfectant Spray & Cleaners,4
127,Metal Polish Triple Action Formula,5001,All Purpose Cleaners,Brasso,97,97,"Metal, Furniture Cleaner",4.1
128,Eco Multipurpose Sanitising Wipes - Lavender,5001,All Purpose Cleaners,Ajax,350,699,Disinfectant Spray & Cleaners,
129,Toilet Seat Sanitizer + Deodoriser,5001,All Purpose Cleaners,Sanitt,150,150,Toilet Cleaners,3.7
130,Germ-Kill Spray,5001,All Purpose Cleaners,Domex,170,200,Disinfectant Spray & Cleaners,4
131,IMPORTED - 3Ply Kitchen Towel Super Absorbent Paper Tissue Roll,5001,All Purpose Cleaners,Selpak,1340,1340,Imported Cleaners,4.5
132,Glass Cleaner Refill,5001,All Purpose Cleaners,BB Home,89,89,"Kitchen, Glass & Drain",
133,Germ - Removal Multipurpose Wipes,5001,All Purpose Cleaners,Nature Protect,169,199,Disinfectant Spray & Cleaners,3.3
134,Heavy Starch - Fresh Lavender Scent,5001,All Purpose Cleaners,Faultless,570,570,Imported Cleaners,3.8
135,Lens Cleaning Solution Kit,5001,All Purpose Cleaners,ZEISS,179,199,Imported Cleaners,
136,Clean-Up All-Purpose Cleaner with Bleach,5001,All Purpose Cleaners,Clorox,425,425,Floor & Other Cleaners,4.3
137,Lens Wipes - Gentle & Thorough Cleaning,5001,All Purpose Cleaners,ZEISS,174,249,Imported Cleaners,3.7
138,Gotile Tap Cleaner - Multipurpose Cleaner,5001,All Purpose Cleaners,GOTILE,375,375,Imported Cleaners,
139,Tap Cleaner,5001,All Purpose Cleaners,ATOMIC,359,399,Imported Cleaners,
140,Dishwasher Tablets With Superior Gloss & Sparkling Agents,5001,All Purpose Cleaners,ARNIGO,450,500,Imported Cleaners,
141,Aio Max Dishwasher Tablets - Regular,5001,All Purpose Cleaners,Finish,599,599,Imported Cleaners,
142,"In-Cistern Toilet Cleaner Blocks, Aquamarine",5001,All Purpose Cleaners,Harpic,299,370,Toilet Cleaners,
143,Dishwasher Rinse Aid Liquid,5001,All Purpose Cleaners,ATOMIC,117,130,Imported Cleaners,
144,Scented Glass Cleaner - Pink,5001,All Purpose Cleaners,SOVI,84,120,Floor & Other Cleaners,5
145,Dishwasher Salt,5001,All Purpose Cleaners,ATOMIC,108,120,Imported Cleaners,
146,Smartphone Wipes,5001,All Purpose Cleaners,ZEISS,244,349,Imported Cleaners,5
147,Dishwasher Detergent Powder,5001,All Purpose Cleaners,ATOMIC,179,199,Imported Cleaners,
148,Toilet Seat Sanitiser - Floral,5001,All Purpose Cleaners,Peesafe,160,180,Toilet Cleaners,4.3
149,Dishwasher Rinse Aid Liquid,5001,All Purpose Cleaners,SCURE,134,149,Imported Cleaners,
150,Dishwasher Detergent - Lemon Fragrance,5001,All Purpose Cleaners,ARNIGO,297,330,Imported Cleaners,
151,Dishwasher Detergent Powder,5001,All Purpose Cleaners,SCURE,179,199,Imported Cleaners,
152,Dishwasher Cleaner & Descaler - Removes Lime Scale & Mineral Build Up,5001,All Purpose Cleaners,ARNIGO,585,650,Imported Cleaners,
153,Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance,5001,All Purpose Cleaners,Corsafe Advance,100,100,Disinfectant Spray & Cleaners,
154,Dishwasher Salt,5001,All Purpose Cleaners,ARNIGO,126,140,Imported Cleaners,
155,Dishwasher - Cleaner,5001,All Purpose Cleaners,Clean N Fresh,279,279,Floor & Other Cleaners,4
156,Meat Wash,5001,All Purpose Cleaners,Saafoo,90,120,Disinfectant Spray & Cleaners,3
157,Rinse Aid,5001,All Purpose Cleaners,Clean N Fresh,249,249,Imported Cleaners,
158,Dishwasher Salt,5001,All Purpose Cleaners,SCURE,108,120,Imported Cleaners,
159,"Liquid Floor Cleaner - All Surface Disinfectant, Schevaran",5001,All Purpose Cleaners,The Green.Company,115,115,Floor & Other Cleaners,2.5
160,Polish &Tarnish Remover - Silver Wipes,5001,All Purpose Cleaners,Weiman,650,650,Imported Cleaners,
161,Gadget Cleaner Spray Sparkling + Harpic Power Plus Toilet Cleaner (each 500 ml),5001,All Purpose Cleaners,Colin,160,188,"Kitchen, Glass & Drain",
162,Disinfectant Surface & Floor Cleaner - [Floral 975 ml + Pine 975 ml],5001,All Purpose Cleaners,Lizol,324,367,Floor & Other Cleaners,
163,Disinfectant Surface & Floor Cleaner Floral Refill Pack 1.8 L + Liquid Floral 2L,5001,All Purpose Cleaners,Lizol,552,681,Floor & Other Cleaners,
164,Disinfectant Surface & Floor Cleaner Liquid 2L + Disinfectant Floor Cleaner 1.8L,5001,All Purpose Cleaners,Lizol,570,681,Floor & Other Cleaners,
165,Gadget Cleaner Spray Sparkling Shine + Glass and Household Cleaner (each 500 ml),5001,All Purpose Cleaners,Colin,166,192,"Kitchen, Glass & Drain",
166,Germ & Stain Blaster 750 ml + Bathroom Cleaner 500 ml + Toilet Rim Block-39 gm,5001,All Purpose Cleaners,Harpic,360,385,Toilet Cleaners,
167,Cleaning Acid,5001,All Purpose Cleaners,Zermisol,58,58,Floor & Other Cleaners,4.2
168,Vegetable & Fruit Wash with 100% Natural Action,5001,All Purpose Cleaners,Nimwash,162,190,Disinfectant Spray & Cleaners,4.3
169,Roff Cera Clean,5001,All Purpose Cleaners,Pidilite,103,105,Floor & Other Cleaners,4.1
170,Floor Cleaner - Sandal,5001,All Purpose Cleaners,Floroma,300,300,Floor & Other Cleaners,3.9
171,Bathroom Power Cleaner Spray - Removes 99.9% Germs,5001,All Purpose Cleaners,Lizol,125,136,Disinfectant Spray & Cleaners,4.3
172,Gadget Cleaner Spray Sparkling Shine 500 ml + Lizol All Purpose Cleaner 450 ml,5001,All Purpose Cleaners,Colin,205,235,"Kitchen, Glass & Drain",
173,Disinfectant Surface & Floor Cleaner Liquid - Floral,5001,All Purpose Cleaners,Lizol,273,319,Floor & Other Cleaners,4.3
174,TV & Gadget Cleaner Spray,5001,All Purpose Cleaners,Colin,84,99,"Kitchen, Glass & Drain",1
175,Multi Purpose Disinfectant Spray,5001,All Purpose Cleaners,KeepSafe by Marico,108,215,Disinfectant Spray & Cleaners,4.5
176,Floor Cleaner - Lavender Fragrance,5001,All Purpose Cleaners,Mr Muscle,89,89,Floor & Other Cleaners,4.3
177,Vegetable & Fruit Wash Spray with 100% Natural Action,5001,All Purpose Cleaners,Nimwash,117,130,Disinfectant Spray & Cleaners,3.9
178,Ceramic Cleaning Acid,5001,All Purpose Cleaners,Smart Home,44,44,Toilet Cleaners,4.1
179,Perfumed Herbal Phenyle -Sandal,5001,All Purpose Cleaners,Smart Home,249,249,Floor & Other Cleaners,4.2
180,Disinfecting Wipes - Crisp Lemon,5001,All Purpose Cleaners,Clorox,450,450,Disinfectant Spray & Cleaners,4.5
181,Toilet Seat Disinfectant Spray,5001,All Purpose Cleaners,KeepSafe by Marico,108,215,Disinfectant Spray & Cleaners,4
182,"Multi Appliance Descaler - Cleans, Descales, Sanitizes and Deodorizes",5001,All Purpose Cleaners,Fortune,150,150,Imported Cleaners,
183,Dishwasher Tablets Powerball Classic,5001,All Purpose Cleaners,Finish,1699,1699,Imported Cleaners,3.5
184,Kitchen Cleaner with Bleach,5001,All Purpose Cleaners,Clorox,350,350,Floor & Other Cleaners,4.6
185,Sanitize Multipurpose Surface Cleaner & Disinfectant,5001,All Purpose Cleaners,Dabur,106,136,Disinfectant Spray & Cleaners,3.7
186,Floor Cleaner - Jasmine,5001,All Purpose Cleaners,Floroma,70,70,Floor & Other Cleaners,4.2
187,Aio Max Dishwasher Tablets - Lemon,5001,All Purpose Cleaners,Finish,1499,1499,Imported Cleaners,
188,"Germ Protection Fruit & Veggie Wash ā€“ Natural Ingredient Based, Removes Germs, Bacteria, Fungus, Wax & Dirt",5001,All Purpose Cleaners,Godrej Protekt,199,249,Disinfectant Spray & Cleaners,4
189,Toilet Bowl Cleaner - Vinegar,5001,All Purpose Cleaners,Frosch,289,289,Toilet Cleaners,4.4
190,Tap & Shower Cleaner,5001,All Purpose Cleaners,PureCult,209,299,Toilet Cleaners,4.5
191,Toilet Cleaner - Cube Block,5001,All Purpose Cleaners,BB Home,120,120,Toilet Cleaners,
192,Floor Cleaner - Rose,5001,All Purpose Cleaners,Floroma,300,300,Floor & Other Cleaners,3.9
193,Floor Cleaner - French Lavender,5001,All Purpose Cleaners,SOVI,153,219,Floor & Other Cleaners,4.7
194,Toilet Cleaner,5001,All Purpose Cleaners,Godrej Proclean,73,86,Toilet Cleaners,4.3
195,Toilet Cleaner Rain Clean,5001,All Purpose Cleaners,Clorox,300,300,Toilet Cleaners,4.1
196,Wood Cleaner,5001,All Purpose Cleaners,Frosch,649,649,Floor & Other Cleaners,3.8
197,Floor Cleaner - Neem & Pine,5001,All Purpose Cleaners,Excel Plus,149,149,Floor & Other Cleaners,4.2
198,Ceramic Ware Cleaning Acid,5001,All Purpose Cleaners,Germi Chek,50,50,Floor & Other Cleaners,3.9
199,Phenyle - Spice,5001,All Purpose Cleaners,Germisol,60,60,Floor & Other Cleaners,4.2
200,"Vegetable & Fruit Wash - 100% Natural Action, Washes Pesticide & Germs",5001,All Purpose Cleaners,Nimwash,30,30,Disinfectant Spray & Cleaners,3
201,Kitchen Chimney Filter De-Greaser Cleaner Concentrate Liquid With Brush,5001,All Purpose Cleaners,Release on,314,349,"Kitchen, Glass & Drain",5
202,Sanitize Air Sanitizer,5001,All Purpose Cleaners,Dabur,161,220,Floor & Other Cleaners,3.8
203,Emasol All Surface Sanitizer,5001,All Purpose Cleaners,Emami,30,40,Floor & Other Cleaners,4
204,Herbal Fruit & Vegetables Wash Sanitize Disinfect Liquid,5001,All Purpose Cleaners,Herbal Strategi,225,225,Disinfectant Spray & Cleaners,4.2
205,Toilet Cleaner - Super Strong,5001,All Purpose Cleaners,Good Home,25,25,"Kitchen, Glass & Drain",4.1
206,Protect Disinfectant Spray For Hard & Soft Surfaces - Lavender Fragrance,5001,All Purpose Cleaners,Dr. Morepen,212,249,Disinfectant Spray & Cleaners,
207,Glass Cleaner,5001,All Purpose Cleaners,Floroma,31,61,"Kitchen, Glass & Drain",4
208,Heavy Starch - Lemon Fresh Scent,5001,All Purpose Cleaners,Faultless,285,285,Imported Cleaners,4.5
209,"Glass Cleaner, Disinfectant & Insect Repellent",5001,All Purpose Cleaners,Herbal Strategi,130,130,"Kitchen, Glass & Drain",4.3
210,Emasol Disinfectant Floor Cleaner - Lavender,5001,All Purpose Cleaners,Emami,71,80,Floor & Other Cleaners,4.5
