OrderID,CustomerID,PaymentID,OrderDate,ShipperID,ShipDate,DeliveryDate,Total_order_amount
7655587,57147,4,18-05-2020,5,21-05-2020,05-06-2020,5190
7655588,57091,4,19-05-2020,2,21-05-2020,24-05-2020,9345
7655589,57103,4,19-05-2020,7,21-05-2020,01-06-2020,68182
7655590,57094,3,19-05-2020,3,20-05-2020,23-05-2020,9399.3
7655591,57125,4,20-05-2020,8,30-05-2020,11-06-2020,5211
7655592,57152,4,22-05-2020,5,24-05-2020,06-06-2020,5785
7655593,57091,3,22-05-2020,7,31-05-2020,15-06-2020,5193.5
7655594,57137,4,23-05-2020,4,26-05-2020,13-06-2020,3165
7655595,57176,2,23-05-2020,2,25-05-2020,29-05-2020,4864
7655596,57158,4,24-05-2020,7,03-06-2020,12-06-2020,10024
7655597,57172,4,25-05-2020,1,26-05-2020,15-06-2020,47368
7655598,57145,4,26-05-2020,6,28-05-2020,11-06-2020,417
7655599,57123,5,26-05-2020,2,04-06-2020,13-06-2020,71265
7655600,57110,6,27-05-2020,6,01-06-2020,18-06-2020,8788
7655601,57141,2,28-05-2020,1,04-06-2020,19-06-2020,18121
7655602,57097,4,28-05-2020,3,03-06-2020,21-06-2020,24976
7655603,57132,5,29-05-2020,1,30-05-2020,07-06-2020,11780
7655604,57106,2,30-05-2020,2,06-06-2020,14-06-2020,4375
7655605,57103,4,01-06-2020,1,11-06-2020,19-06-2020,27391.5
7655606,57101,4,01-06-2020,4,02-06-2020,18-06-2020,259.2
7655607,57103,4,01-06-2020,6,07-06-2020,13-06-2020,17739
7655608,57153,4,02-06-2020,3,06-06-2020,24-06-2020,6480
7655609,57153,3,03-06-2020,7,12-06-2020,26-06-2020,20701
7655610,57164,4,03-06-2020,7,13-06-2020,28-06-2020,26028
7655611,57119,3,03-06-2020,5,06-06-2020,23-06-2020,3902
7655612,57170,5,04-06-2020,7,06-06-2020,07-06-2020,3209
7655613,57110,6,04-06-2020,7,14-06-2020,29-06-2020,46156
7655614,57090,3,04-06-2020,5,12-06-2020,19-06-2020,29491
7655615,57147,5,04-06-2020,6,12-06-2020,14-06-2020,13311
7655616,57105,5,04-06-2020,3,11-06-2020,26-06-2020,37365
7655617,57089,3,05-06-2020,6,06-06-2020,20-06-2020,16532
7655618,57139,3,05-06-2020,6,07-06-2020,26-06-2020,9859
7655619,57193,6,06-06-2020,6,11-06-2020,15-06-2020,29096
7655620,57110,4,06-06-2020,2,07-06-2020,18-06-2020,15489.9
7655621,57143,6,07-06-2020,3,09-06-2020,27-06-2020,13850
7655622,57125,4,07-06-2020,8,12-06-2020,20-06-2020,16571.7
7655623,57187,4,09-06-2020,3,10-06-2020,11-06-2020,45315.9
7655624,57171,4,09-06-2020,4,19-06-2020,06-07-2020,10777.5
7655625,57186,3,09-06-2020,7,13-06-2020,16-06-2020,2812
7655626,57081,4,10-06-2020,6,18-06-2020,21-06-2020,9703.8
7655627,57204,1,10-06-2020,3,13-06-2020,28-06-2020,24156.9
7655628,57167,4,10-06-2020,6,15-06-2020,25-06-2020,24069.6
7655629,57166,4,11-06-2020,3,16-06-2020,18-06-2020,26514
7655630,57181,4,12-06-2020,2,16-06-2020,03-07-2020,2185.2
7655631,57088,4,13-06-2020,5,17-06-2020,21-06-2020,2900.7
7655632,57167,5,13-06-2020,3,20-06-2020,04-07-2020,2205
7655633,57174,4,14-06-2020,1,20-06-2020,08-07-2020,26424.9
7655634,57107,4,14-06-2020,8,17-06-2020,01-07-2020,13528.8
7655635,57205,4,15-06-2020,6,18-06-2020,07-07-2020,33689.7
7655636,57151,5,16-06-2020,8,18-06-2020,24-06-2020,34934
7655637,57163,4,16-06-2020,4,23-06-2020,11-07-2020,15411.6
7655638,57205,4,16-06-2020,8,20-06-2020,05-07-2020,6278.4
7655639,57152,4,16-06-2020,6,21-06-2020,27-06-2020,21927.6
7655640,57142,3,17-06-2020,3,21-06-2020,22-06-2020,3961
7655641,57181,4,19-06-2020,8,20-06-2020,23-06-2020,52723.8
7655642,57157,4,19-06-2020,3,24-06-2020,25-06-2020,1439.1
7655643,57126,4,19-06-2020,2,21-06-2020,06-07-2020,19111.5
7655644,57106,4,20-06-2020,2,23-06-2020,29-06-2020,6489
7655645,57125,2,20-06-2020,8,28-06-2020,14-07-2020,47342
7655646,57193,4,21-06-2020,7,22-06-2020,26-06-2020,7444.8
7655647,57210,4,21-06-2020,8,22-06-2020,11-07-2020,24164.1
7655648,57120,6,22-06-2020,6,24-06-2020,27-06-2020,18521
7655649,57099,4,22-06-2020,8,23-06-2020,30-06-2020,55661.4
7655650,57175,4,22-06-2020,3,29-06-2020,10-07-2020,18222.3
7655651,57131,4,24-06-2020,5,02-07-2020,21-07-2020,73576.8
7655652,57200,5,25-06-2020,8,02-07-2020,07-07-2020,30359
7655653,57127,5,25-06-2020,1,04-07-2020,18-07-2020,8918
7655654,57209,3,25-06-2020,6,29-06-2020,17-07-2020,28455
7655655,57141,4,26-06-2020,2,03-07-2020,06-07-2020,21115.8
7655656,57173,3,26-06-2020,7,27-06-2020,10-07-2020,11329
7655657,57165,3,27-06-2020,5,01-07-2020,04-07-2020,36306
7655658,57119,4,27-06-2020,8,03-07-2020,14-07-2020,3808.8
7655659,57204,6,27-06-2020,6,29-06-2020,13-07-2020,13002
7655660,57205,4,28-06-2020,5,02-07-2020,10-07-2020,13954.5
7655661,57090,4,29-06-2020,6,05-07-2020,10-07-2020,10655.1
7655662,57161,6,29-06-2020,2,01-07-2020,02-07-2020,35544
7655663,57158,4,30-06-2020,7,06-07-2020,18-07-2020,5829.3
7655664,57214,5,30-06-2020,5,07-07-2020,23-07-2020,11840
7655665,57168,4,01-07-2020,4,04-07-2020,20-07-2020,35150.4
7655666,57088,1,01-07-2020,1,06-07-2020,19-07-2020,500
7655667,57115,3,01-07-2020,5,11-07-2020,27-07-2020,400
7655668,57087,4,02-07-2020,7,05-07-2020,20-07-2020,1323
7655669,57156,4,02-07-2020,6,06-07-2020,16-07-2020,39172.5
7655670,57111,4,03-07-2020,7,07-07-2020,20-07-2020,14835.6
7655671,57199,4,04-07-2020,3,09-07-2020,11-07-2020,23402.7
7655672,57172,3,05-07-2020,8,11-07-2020,25-07-2020,22459
7655673,57117,6,05-07-2020,7,07-07-2020,26-07-2020,7755
7655674,57175,6,05-07-2020,3,09-07-2020,24-07-2020,22240
7655675,57199,4,06-07-2020,1,16-07-2020,04-08-2020,6086.7
7655676,57178,3,07-07-2020,1,17-07-2020,28-07-2020,2604
7655677,57125,6,08-07-2020,6,16-07-2020,29-07-2020,31545
7655678,57205,6,08-07-2020,4,09-07-2020,20-07-2020,20916
7655679,57198,4,08-07-2020,7,12-07-2020,26-07-2020,11113.2
7655680,57096,3,08-07-2020,8,09-07-2020,27-07-2020,8716
7655681,57098,4,09-07-2020,4,19-07-2020,06-08-2020,2295
7655682,57145,3,09-07-2020,5,10-07-2020,11-07-2020,23956
7655683,57152,4,09-07-2020,3,16-07-2020,21-07-2020,1953
7655684,57191,6,10-07-2020,4,11-07-2020,23-07-2020,8204
7655685,57088,4,10-07-2020,4,11-07-2020,28-07-2020,6479.1
7655686,57212,5,11-07-2020,2,13-07-2020,23-07-2020,9582
7655687,57213,3,11-07-2020,1,14-07-2020,25-07-2020,33364
7655688,57101,4,12-07-2020,1,15-07-2020,20-07-2020,2615.4
7655689,57082,3,12-07-2020,1,15-07-2020,01-08-2020,68614
7655690,57166,4,13-07-2020,5,15-07-2020,17-07-2020,4509.9
7655691,57186,4,14-07-2020,1,20-07-2020,22-07-2020,21196.8
7655692,57179,3,14-07-2020,2,16-07-2020,23-07-2020,32852
7655693,57092,4,14-07-2020,5,20-07-2020,08-08-2020,22071.6
7655694,57194,4,15-07-2020,3,18-07-2020,02-08-2020,38170.8
7655695,57141,4,15-07-2020,6,25-07-2020,30-07-2020,10359
7655696,57093,6,15-07-2020,7,24-07-2020,03-08-2020,40127
7655697,57185,4,17-07-2020,1,22-07-2020,02-08-2020,23400.9
7655698,57111,6,18-07-2020,3,26-07-2020,15-08-2020,29741
7655699,57210,5,19-07-2020,8,22-07-2020,24-07-2020,7987
7655700,57191,4,19-07-2020,7,28-07-2020,07-08-2020,2319.3
7655701,57111,4,19-07-2020,1,21-07-2020,08-08-2020,14319
7655702,57220,3,19-07-2020,5,22-07-2020,10-08-2020,11673
7655703,57176,6,19-07-2020,7,23-07-2020,02-08-2020,758
7655704,57091,4,20-07-2020,6,24-07-2020,05-08-2020,4809.6
7655705,57204,4,20-07-2020,7,30-07-2020,17-08-2020,24993.9
7655706,57210,2,21-07-2020,1,25-07-2020,26-07-2020,3500
7655707,57129,5,22-07-2020,1,24-07-2020,03-08-2020,21637
7655708,57141,3,23-07-2020,8,26-07-2020,27-07-2020,23041
7655709,57135,4,23-07-2020,2,26-07-2020,08-08-2020,7308
7655710,57098,4,23-07-2020,3,31-07-2020,12-08-2020,13270.5
7655711,57158,5,23-07-2020,3,29-07-2020,01-08-2020,11356
7655712,57096,3,24-07-2020,8,30-07-2020,01-08-2020,18909
7655713,57110,4,25-07-2020,2,26-07-2020,11-08-2020,7942.5
7655714,57096,4,25-07-2020,6,27-07-2020,09-08-2020,8227.8
7655715,57192,4,26-07-2020,5,02-08-2020,05-08-2020,11646
7655716,57108,3,26-07-2020,7,28-07-2020,15-08-2020,14956
7655717,57210,6,26-07-2020,1,29-07-2020,08-08-2020,55551
7655718,57141,3,27-07-2020,6,29-07-2020,05-08-2020,7990
7655719,57221,4,27-07-2020,3,04-08-2020,14-08-2020,3617.1
7655720,57158,4,27-07-2020,5,03-08-2020,15-08-2020,21129.3
7655721,57122,5,27-07-2020,8,31-07-2020,18-08-2020,11632
7655722,57087,4,28-07-2020,8,01-08-2020,04-08-2020,16227.9
7655723,57101,5,29-07-2020,1,03-08-2020,20-08-2020,652
7655724,57218,4,29-07-2020,1,31-07-2020,04-08-2020,6015.6
7655725,57081,3,29-07-2020,3,08-08-2020,09-08-2020,5698
7655726,57171,3,29-07-2020,4,31-07-2020,14-08-2020,19063
7655727,57206,4,29-07-2020,8,31-07-2020,17-08-2020,19273.5
7655728,57092,5,30-07-2020,6,31-07-2020,03-08-2020,36084
7655729,57199,6,31-07-2020,6,03-08-2020,14-08-2020,1425
7655730,57146,5,31-07-2020,1,01-08-2020,10-08-2020,20883
7655731,57120,4,01-08-2020,6,06-08-2020,11-08-2020,6016.5
7655732,57214,5,01-08-2020,2,05-08-2020,12-08-2020,23843
7655733,57132,4,01-08-2020,7,07-08-2020,23-08-2020,13176
7655734,57101,4,02-08-2020,4,05-08-2020,09-08-2020,21012.3
7655735,57146,4,02-08-2020,6,11-08-2020,15-08-2020,5400
7655736,57141,5,02-08-2020,4,11-08-2020,19-08-2020,16623
7655737,57108,6,03-08-2020,4,07-08-2020,10-08-2020,7538
7655738,57096,4,04-08-2020,3,14-08-2020,24-08-2020,10745.1
7655739,57172,3,05-08-2020,1,14-08-2020,25-08-2020,21885
7655740,57155,5,05-08-2020,5,06-08-2020,24-08-2020,1792
7655741,57111,3,05-08-2020,6,06-08-2020,17-08-2020,8278
7655742,57141,3,06-08-2020,1,14-08-2020,20-08-2020,7321
7655743,57187,3,06-08-2020,8,11-08-2020,17-08-2020,13664
7655744,57190,4,06-08-2020,5,12-08-2020,23-08-2020,20833.2
7655745,57182,3,08-08-2020,1,09-08-2020,27-08-2020,4177
7655746,57137,5,09-08-2020,7,16-08-2020,30-08-2020,13782
7655747,57155,4,09-08-2020,2,15-08-2020,16-08-2020,918
7655748,57086,6,09-08-2020,4,14-08-2020,19-08-2020,24510
7655749,57091,6,10-08-2020,6,14-08-2020,03-09-2020,14776
7655750,57089,4,11-08-2020,8,15-08-2020,27-08-2020,4708.8
7655751,57206,3,11-08-2020,5,13-08-2020,24-08-2020,13172
7655752,57216,6,11-08-2020,4,17-08-2020,18-08-2020,45144
7655753,57142,3,12-08-2020,2,14-08-2020,31-08-2020,1683
7655754,57193,3,13-08-2020,4,22-08-2020,01-09-2020,8411
7655755,57145,1,13-08-2020,6,17-08-2020,18-08-2020,5500
7655756,57169,5,13-08-2020,2,19-08-2020,29-08-2020,6888
7655757,57105,5,13-08-2020,6,21-08-2020,08-09-2020,6456
7655758,57111,4,14-08-2020,4,24-08-2020,05-09-2020,30122.1
7655759,57197,4,14-08-2020,3,18-08-2020,01-09-2020,41025.6
7655760,57203,3,15-08-2020,5,20-08-2020,28-08-2020,4670
7655761,57104,4,15-08-2020,8,17-08-2020,21-08-2020,24939
7655762,57119,4,16-08-2020,3,20-08-2020,23-08-2020,12996.9
7655763,57114,4,16-08-2020,3,22-08-2020,27-08-2020,24482.7
7655764,57159,4,16-08-2020,1,18-08-2020,23-08-2020,23553
7655765,57224,4,16-08-2020,2,21-08-2020,02-09-2020,5132.7
7655766,57219,3,16-08-2020,2,20-08-2020,22-08-2020,5745
7655767,57132,4,17-08-2020,4,21-08-2020,04-09-2020,5382
7655768,57217,4,17-08-2020,2,24-08-2020,09-09-2020,15947.1
7655769,57088,6,17-08-2020,3,21-08-2020,10-09-2020,18346
7655770,57202,3,18-08-2020,2,28-08-2020,15-09-2020,116661
7655771,57168,6,18-08-2020,1,28-08-2020,02-09-2020,6477
7655772,57162,4,19-08-2020,3,24-08-2020,06-09-2020,805.5
7655773,57142,4,19-08-2020,4,26-08-2020,12-09-2020,11611.8
7655774,57134,3,19-08-2020,1,20-08-2020,02-09-2020,4772
7655775,57136,4,19-08-2020,7,21-08-2020,09-09-2020,18753.3
7655776,57169,3,19-08-2020,7,22-08-2020,09-09-2020,16924
7655777,57220,5,20-08-2020,6,25-08-2020,01-09-2020,9264
7655778,57222,5,20-08-2020,2,28-08-2020,30-08-2020,9920
7655779,57234,4,20-08-2020,3,28-08-2020,13-09-2020,26818.2
7655780,57113,6,21-08-2020,8,30-08-2020,31-08-2020,38811
7655781,57109,3,21-08-2020,2,31-08-2020,05-09-2020,7560
7655782,57182,4,21-08-2020,1,30-08-2020,16-09-2020,13381.2
7655783,57116,6,21-08-2020,1,29-08-2020,30-08-2020,2226
7655784,57146,5,22-08-2020,3,26-08-2020,01-09-2020,4668
7655785,57221,6,22-08-2020,4,30-08-2020,07-09-2020,22430
7655786,57209,3,23-08-2020,5,24-08-2020,08-09-2020,4448
7655787,57186,3,23-08-2020,3,27-08-2020,09-09-2020,19646
7655788,57204,5,23-08-2020,4,24-08-2020,30-08-2020,18305
7655789,57100,4,24-08-2020,2,03-09-2020,14-09-2020,21366.9
7655790,57158,1,24-08-2020,8,30-08-2020,11-09-2020,5456
7655791,57086,4,24-08-2020,7,01-09-2020,10-09-2020,14926.5
7655792,57093,6,25-08-2020,8,04-09-2020,07-09-2020,48427
7655793,57176,4,26-08-2020,6,27-08-2020,01-09-2020,28390.5
7655794,57097,4,27-08-2020,3,29-08-2020,02-09-2020,5120.1
7655795,57118,4,27-08-2020,2,06-09-2020,24-09-2020,20182.5
7655796,57150,3,27-08-2020,3,30-08-2020,06-09-2020,26515
7655797,57136,4,28-08-2020,5,04-09-2020,16-09-2020,159.3
7655798,57198,6,28-08-2020,1,07-09-2020,11-09-2020,33854
7655799,57224,5,28-08-2020,1,30-08-2020,14-09-2020,19734
7655800,57216,4,29-08-2020,2,07-09-2020,09-09-2020,39142.8
7655801,57170,3,29-08-2020,5,04-09-2020,18-09-2020,1374
7655802,57172,4,29-08-2020,7,04-09-2020,12-09-2020,8710.2
7655803,57162,4,29-08-2020,6,02-09-2020,20-09-2020,31308.3
7655804,57221,2,30-08-2020,8,04-09-2020,13-09-2020,5481
7655805,57144,3,31-08-2020,6,07-09-2020,08-09-2020,14398
7655806,57180,4,01-09-2020,8,02-09-2020,12-09-2020,9342.9
7655807,57214,5,01-09-2020,2,04-09-2020,12-09-2020,13559
7655808,57134,4,01-09-2020,8,05-09-2020,11-09-2020,9702
7655809,57145,6,01-09-2020,6,03-09-2020,16-09-2020,9230
7655810,57206,4,03-09-2020,4,12-09-2020,17-09-2020,23310
7655811,57186,6,03-09-2020,4,08-09-2020,21-09-2020,13337
7655812,57219,4,03-09-2020,5,04-09-2020,14-09-2020,10210.5
7655813,57160,5,03-09-2020,8,07-09-2020,11-09-2020,24420
7655814,57124,6,04-09-2020,7,14-09-2020,23-09-2020,34827
7655815,57209,3,04-09-2020,5,14-09-2020,28-09-2020,39675
7655816,57108,5,05-09-2020,6,10-09-2020,16-09-2020,9148
7655817,57090,3,05-09-2020,1,09-09-2020,15-09-2020,11574
7655818,57198,3,06-09-2020,8,14-09-2020,16-09-2020,17031
7655819,57205,3,07-09-2020,4,12-09-2020,20-09-2020,6909
7655820,57243,4,07-09-2020,7,12-09-2020,30-09-2020,13526.1
7655821,57169,6,07-09-2020,2,13-09-2020,26-09-2020,7434
7655822,57215,5,07-09-2020,6,12-09-2020,02-10-2020,11765
7655823,57214,4,07-09-2020,2,09-09-2020,14-09-2020,2916
7655824,57099,4,07-09-2020,8,11-09-2020,28-09-2020,21739.5
7655825,57217,4,08-09-2020,3,14-09-2020,04-10-2020,22894.2
7655826,57238,4,08-09-2020,6,18-09-2020,06-10-2020,3418.2
7655827,57083,4,08-09-2020,5,17-09-2020,07-10-2020,19222.2
7655828,57238,4,09-09-2020,4,15-09-2020,30-09-2020,11293.2
7655829,57243,3,10-09-2020,6,12-09-2020,16-09-2020,750
7655830,57176,3,11-09-2020,1,16-09-2020,02-10-2020,12649
7655831,57151,4,12-09-2020,4,15-09-2020,16-09-2020,1552.5
7655832,57128,4,12-09-2020,1,15-09-2020,22-09-2020,14512.5
7655833,57092,3,12-09-2020,1,17-09-2020,20-09-2020,8101
7655834,57179,3,12-09-2020,8,21-09-2020,26-09-2020,16187
7655835,57120,4,14-09-2020,6,15-09-2020,02-10-2020,21522.6
7655836,57088,3,14-09-2020,3,18-09-2020,26-09-2020,9180
7655837,57144,6,14-09-2020,4,16-09-2020,29-09-2020,17978
7655838,57220,4,14-09-2020,1,16-09-2020,04-10-2020,7099.2
7655839,57159,4,14-09-2020,1,20-09-2020,01-10-2020,19010.7
7655840,57211,2,14-09-2020,5,23-09-2020,28-09-2020,18385
7655841,57211,4,15-09-2020,6,22-09-2020,11-10-2020,749.7
7655842,57160,4,15-09-2020,5,16-09-2020,21-09-2020,26463.6
7655843,57216,4,16-09-2020,3,21-09-2020,27-09-2020,6001.2
7655844,57181,4,16-09-2020,4,25-09-2020,03-10-2020,3970.8
7655845,57250,5,16-09-2020,5,26-09-2020,04-10-2020,4179
7655846,57114,4,17-09-2020,1,27-09-2020,12-10-2020,74206.8
7655847,57238,4,17-09-2020,6,24-09-2020,29-09-2020,15862.5
7655848,57215,6,17-09-2020,5,24-09-2020,02-10-2020,693
7655849,57117,4,17-09-2020,7,18-09-2020,23-09-2020,77931.9
7655850,57089,4,17-09-2020,6,18-09-2020,03-10-2020,9912.6
7655851,57212,3,17-09-2020,4,18-09-2020,07-10-2020,19583
7655852,57181,4,17-09-2020,1,19-09-2020,30-09-2020,25321.5
7655853,57092,4,18-09-2020,7,20-09-2020,04-10-2020,10412.1
7655854,57182,4,18-09-2020,3,22-09-2020,25-09-2020,31653.9
7655855,57126,3,18-09-2020,2,27-09-2020,14-10-2020,5687
7655856,57201,4,18-09-2020,5,22-09-2020,23-09-2020,14163.3
7655857,57135,5,18-09-2020,8,20-09-2020,08-10-2020,5256
7655858,57206,4,18-09-2020,1,26-09-2020,29-09-2020,30263.4
7655859,57258,6,19-09-2020,5,24-09-2020,09-10-2020,9686
7655860,57089,4,19-09-2020,3,22-09-2020,05-10-2020,51192.9
7655861,57144,6,19-09-2020,3,29-09-2020,11-10-2020,18123
7655862,57195,3,21-09-2020,3,26-09-2020,04-10-2020,9538
7655863,57132,3,21-09-2020,8,26-09-2020,11-10-2020,9570
7655864,57230,6,21-09-2020,6,28-09-2020,04-10-2020,22889
7655865,57259,5,21-09-2020,8,29-09-2020,30-09-2020,16637
7655866,57085,4,22-09-2020,1,28-09-2020,30-09-2020,4571.1
7655867,57198,5,22-09-2020,7,30-09-2020,16-10-2020,28080
7655868,57162,4,22-09-2020,7,25-09-2020,02-10-2020,16461
7655869,57100,4,22-09-2020,8,26-09-2020,01-10-2020,7380.9
7655870,57237,6,22-09-2020,7,30-09-2020,20-10-2020,20234
7655871,57257,4,23-09-2020,4,25-09-2020,26-09-2020,3469.5
7655872,57203,4,23-09-2020,4,26-09-2020,07-10-2020,19713.6
7655873,57260,5,23-09-2020,7,25-09-2020,30-09-2020,6582
7655874,57229,4,24-09-2020,7,30-09-2020,10-10-2020,8643.6
7655875,57203,4,24-09-2020,2,26-09-2020,16-10-2020,68614.2
7655876,57081,3,24-09-2020,7,25-09-2020,01-10-2020,44193
7655877,57130,4,24-09-2020,2,28-09-2020,07-10-2020,8316.9
7655878,57213,4,25-09-2020,1,01-10-2020,05-10-2020,19693.8
7655879,57222,5,25-09-2020,5,26-09-2020,05-10-2020,1813
7655880,57232,4,26-09-2020,3,30-09-2020,04-10-2020,14100.3
7655881,57252,4,26-09-2020,6,06-10-2020,15-10-2020,6669.9
7655882,57133,3,27-09-2020,2,06-10-2020,08-10-2020,8061
7655883,57256,4,27-09-2020,6,07-10-2020,14-10-2020,49230
7655884,57142,4,27-09-2020,1,07-10-2020,19-10-2020,21599.1
7655885,57204,3,27-09-2020,5,03-10-2020,09-10-2020,11714
7655886,57221,4,27-09-2020,5,02-10-2020,22-10-2020,16272.9
7655887,57172,4,27-09-2020,4,29-09-2020,09-10-2020,13536
7655888,57172,1,28-09-2020,5,08-10-2020,10-10-2020,9109.8
